geoid,name,population,value,percentile,numerator,denominator
06073014001,140.01,4500,-0.199687759825585,0.373042362002567,,
06073012700,127,4868,-0.336146620553181,0.298459563543004,,
06065046102,461.02,1881,-1.02006890257854,0.0369704749679076,,
06075013400,134,3742,1.11723463583702,0.983311938382542,,
06013306004,3060.04,3616,-0.119303709929425,0.419127086007702,,
06037128601,1286.01,4369,-0.290140499179544,0.325930680359435,,
06037532200,5322,7363,-0.60912216001816,0.163029525032092,,
06063000502,5.02,1649,-0.294590378177615,0.322079589216945,,
06037212203,2122.03,2914,-0.773681903169213,0.0982028241335045,,
06001441923,4419.23,6250,0.359892255942432,0.702053915275995,,
06037135201,1352.01,2788,0.247897865144416,0.634146341463415,,
06001407200,4072,6985,-0.444853776512332,0.241335044929397,,
06067009103,91.03,3210,0.0776103861264374,0.535430038510911,,
06037405203,4052.03,3638,-0.196523876352013,0.375353016688062,,
06001404000,4040,2895,0.83887733819987,0.933247753530167,,
06085511916,5119.16,4797,0.519902294678222,0.797689345314506,,
06075030202,302.02,4438,1.04796722626601,0.97586649550706,,
06085503117,5031.17,3071,-0.470172630025331,0.228883183568678,,
06085507808,5078.08,5580,0.974535651578447,0.964569961489089,,
06037239501,2395.01,3729,-0.988373586810465,0.0455712451861361,,
06029002500,25,9052,-1.35902658406747,0.00539152759948652,,
06073003103,31.03,6105,-0.290399749006742,0.325288831835687,,
06073020208,202.08,2565,0.0676257725529284,0.529139922978177,,
06037192520,1925.20,5269,-0.597020929176266,0.168549422336329,,
06085509404,5094.04,7129,0.594646918444683,0.837612323491656,,
06037555104,5551.04,4210,-0.0512741474066786,0.460205391527599,,
06059021914,219.14,4306,0.332015527949543,0.684595635430039,,
06037107010,1070.10,3141,-0.50070211327543,0.214249037227214,,
06037301205,3012.05,2106,0.420759230553332,0.741976893453145,,
06065045110,451.10,6290,-0.0683987187541757,0.44813863928113,,
06111002905,29.05,5433,0.00412746668406709,0.49216944801027,,
06095252706,2527.06,4087,0.0763522757479666,0.534531450577664,,
06059099246,992.46,3476,0.587813584719766,0.833889602053915,,
06059011709,117.09,4610,0.680738233492612,0.876765083440308,,
06037199201,1992.01,3660,-0.874978624510366,0.0703465982028241,,
06037121020,1210.20,3610,-0.20518660958564,0.370089858793325,,
06077004502,45.02,4301,-0.826837414764633,0.0821566110397946,,
06029002817,28.17,5373,-0.623262255648257,0.156225930680359,,
06107001302,13.02,9219,-0.417188928208867,0.25596919127086,,
06029002814,28.14,4038,-0.750931656360475,0.106161745827985,,
06037603704,6037.04,6609,-0.291543560911085,0.324261874197689,,
